Dismissals,Catch By Fielder,Catch By Keeper,Stump,Result,Match,Opponent,Location,Date,Stadium,
4,0,4,0,L,3rd Test,Aus,Aus,2009/10,Hobart,
4,0,4,0,L,1st Test,SA,SA,2012/13,Johannesburg,
2,0,2,0,L,2nd Test,SA,SA,2012/13,Cape Town,
2,0,2,0,L,3rd Test,SA,SA,2012/13,Centurion,
1,0,1,0,L,2nd Test,SL,UAE,2013/14,Dubai (DSC),
1,0,1,0,W,3rd Test,SL,UAE,2013/14,Sharjah,
3,0,1,2,L,1st Test,SL,SL,2014,Galle,
3,0,3,0,L,2nd Test,SL,SL,2014,Colombo (SSC),
2,0,0,2,W,1st Test,Aus,UAE,2014/15,Dubai (DSC),
1,0,1,0,W,2nd Test,Aus,UAE,2014/15,Abu Dhabi,
4,0,2,2,W,1st Test,NZ,UAE,2014/15,Abu Dhabi,
2,0,1,1,D,2nd Test,NZ,UAE,2014/15,Dubai (DSC),
1,0,1,0,L,3rd Test,NZ,UAE,2014/15,Sharjah,
3,0,2,1,D,1st Test,BD,BD,2015,Khulna,
3,0,3,0,W,2nd Test,BD,BD,2015,Dhaka,
6,0,3,3,W,1st Test,SL,SL,2015,Galle,
1,0,1,0,L,2nd Test,SL,SL,2015,Colombo (PSS),
7,0,5,2,W,3rd Test,SL,SL,2015,Pallekele,
3,0,2,1,D,1st Test,Eng,UAE,2015/16,Abu Dhabi,
5,0,5,0,W,2nd Test,Eng,UAE,2015/16,Dubai (DSC),
5,0,2,3,W,3rd Test,Eng,UAE,2015/16,Sharjah,
1,0,1,0,W,1st Test,Eng,Eng,2016,Lord's,
3,0,3,0,L,2nd Test,Eng,Eng,2016,Manchester,
5,0,5,0,L,3rd Test,Eng,Eng,2016,Birmingham,
6,0,6,0,W,4th Test,Eng,Eng,2016,The Oval,
2,0,2,0,W,1st Test,WI,UAE,2016/17,Dubai (DSC) (d/n),
2,0,2,0,W,2nd Test,WI,UAE,2016/17,Abu Dhabi,
3,0,3,0,L,3rd Test,WI,UAE,2016/17,Sharjah,
2,0,2,0,L,1st Test,NZ,NZ,2016/17,Christchurch,
7,0,7,0,L,2nd Test,NZ,NZ,2016/17,Hamilton,
3,0,3,0,L,1st Test,Aus,Aus,2016/17,Brisbane (d/n),
2,0,2,0,L,2nd Test,Aus,Aus,2016/17,Melbourne,
4,0,4,0,L,3rd Test,Aus,Aus,2016/17,Sydney,
2,0,2,0,W,1st Test,WI,WI,2017,Kingston,
4,0,4,0,L,2nd Test,WI,WI,2017,Bridgetown,
3,0,3,0,W,3rd Test,WI,WI,2017,Roseau,
2,0,2,0,L,1st Test,SL,UAE,2017/18,Abu Dhabi,
7,0,6,1,L,2nd Test,SL,UAE,2017/18,Dubai (DSC) (d/n),
2,0,2,0,W,Only Test,Ire,Ire,2018,Dublin (Malahide),
5,0,5,0,W,1st Test,Eng,Eng,2018,Lord's,
5,0,5,0,L,2nd Test,Eng,Eng,2018,Leeds,
2,0,2,0,D,1st Test,Aus,UAE,2018/19,Dubai (DSC),
1,0,1,0,W,2nd Test,Aus,UAE,2018/19,Abu Dhabi,
6,0,6,0,L,1st Test,NZ,UAE,2018/19,Abu Dhabi,
6,0,4,2,W,2nd Test,NZ,UAE,2018/19,Dubai (DSC),
0,0,0,0,L,3rd Test,NZ,UAE,2018/19,Abu Dhabi,
5,0,4,1,L,1st Test,SA,SA,2018/19,Centurion,
4,0,4,0,L,2nd Test,SA,SA,2018/19,Cape Town,
10,0,10,0,L,3rd Test,SA,SA,2018/19,Johannesburg,
,,,,,,,,,,
,,,,,,,,,,
